,gmDate,gmTime,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,team2PA,team2PM,team3PA,team3PM,teamFTA,teamFTM,teamORB,teamDRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,oppt2PA,oppt2PM,oppt3PA,oppt3PM,opptFTA,opptFTM,opptORB,opptDRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4
67,2016-10-29,10:30,SAC,West,Pacific,Home,Win,2,106,24,13,6,5,24,85,39,59,30,26,9,25,19,11,20,25,29,31,21,MIN,West,Northwest,Away,Loss,3,103,19,14,5,5,25,72,37,50,30,22,7,31,22,9,29,34,31,12,26
68,2016-10-30,04:30,UTA,West,Northwest,Away,Loss,1,75,18,18,8,3,22,73,29,54,22,19,7,13,10,7,36,22,13,21,19,LAC,West,Pacific,Home,Win,2,88,17,13,8,4,14,83,34,56,28,27,6,20,14,14,35,19,23,27,19
69,2016-10-30,04:30,LAC,West,Pacific,Home,Win,2,88,17,13,8,4,14,83,34,56,28,27,6,20,14,14,35,19,23,27,19,UTA,West,Northwest,Away,Loss,1,75,18,18,8,3,22,73,29,54,22,19,7,13,10,7,36,22,13,21,19
70,2016-10-30,06:00,MIL,East,Central,Away,Loss,0,83,22,12,10,4,16,87,34,70,30,17,4,14,11,10,30,21,18,26,18,DET,East,Central,Home,Win,1,98,23,16,8,4,14,88,39,68,34,20,5,20,15,16,42,24,26,25,23
71,2016-10-30,06:00,DET,East,Central,Home,Win,1,98,23,16,8,4,14,88,39,68,34,20,5,20,15,16,42,24,26,25,23,MIL,East,Central,Away,Loss,0,83,22,12,10,4,16,87,34,70,30,17,4,14,11,10,30,21,18,26,18
72,2016-10-30,06:00,SA,West,Southwest,Away,Win,0,106,20,16,4,5,26,82,37,64,27,18,10,26,22,14,30,24,28,25,29,MIA,East,Southeast,Home,Loss,1,99,19,12,7,6,24,80,37,60,30,20,7,26,18,6,30,19,25,28,27
73,2016-10-30,06:00,MIA,East,Southeast,Home,Loss,1,99,19,12,7,6,24,80,37,60,30,20,7,26,18,6,30,19,25,28,27,SA,West,Southwest,Away,Win,0,106,20,16,4,5,26,82,37,64,27,18,10,26,22,14,30,24,28,25,29
74,2016-10-30,06:00,GS,West,Pacific,Away,Win,1,106,27,16,6,5,23,83,35,54,27,29,8,33,28,7,36,22,33,26,25,PHO,West,Pacific,Home,Loss,1,100,19,12,10,6,26,90,37,67,29,23,8,25,18,11,39,30,27,21,22
75,2016-10-30,06:00,PHO,West,Pacific,Home,Loss,1,100,19,12,10,6,26,90,37,67,29,23,8,25,18,11,39,30,27,21,22,GS,West,Pacific,Away,Win,1,106,27,16,6,5,23,83,35,54,27,29,8,33,28,7,36,22,33,26,25
76,2016-10-30,07:00,WAS,East,Southeast,Away,Loss,2,103,19,14,8,4,23,86,38,61,33,25,5,25,22,8,32,22,32,23,23,MEM,West,Southwest,Home,Win,0,112,24,14,9,2,26,88,39,57,24,31,15,26,19,11,36,27,31,20,22
77,2016-10-30,07:00,MEM,West,Southwest,Home,Win,0,112,24,14,9,2,26,88,39,57,24,31,15,26,19,11,36,27,31,20,22,WAS,East,Southeast,Away,Loss,2,103,19,14,8,4,23,86,38,61,33,25,5,25,22,8,32,22,32,23,23
78,2016-10-30,07:00,LAL,West,Pacific,Away,Loss,1,96,20,21,15,2,18,87,35,55,28,32,7,24,19,11,30,24,22,25,25,OKC,West,Northwest,Home,Win,1,113,29,20,15,6,22,95,45,69,36,26,9,17,14,11,35,30,28,19,36
79,2016-10-30,07:00,OKC,West,Northwest,Home,Win,1,113,29,20,15,6,22,95,45,69,36,26,9,17,14,11,35,30,28,19,36,LAL,West,Pacific,Away,Loss,1,96,20,21,15,2,18,87,35,55,28,32,7,24,19,11,30,24,22,25,25
80,2016-10-30,08:00,DAL,West,Southwest,Away,Loss,1,92,17,13,8,3,17,84,32,54,21,30,11,20,17,12,30,25,28,17,22,HOU,West,Southwest,Home,Win,1,93,16,17,5,4,21,80,34,49,23,31,11,21,14,9,37,34,29,17,13
81,2016-10-30,08:00,HOU,West,Southwest,Home,Win,1,93,16,17,5,4,21,80,34,49,23,31,11,21,14,9,37,34,29,17,13,DAL,West,Southwest,Away,Loss,1,92,17,13,8,3,17,84,32,54,21,30,11,20,17,12,30,25,28,17,22
82,2016-10-31,07:30,SAC,West,Pacific,Away,Loss,1,95,26,19,10,6,34,75,36,52,26,23,10,19,13,6,32,15,29,37,14,ATL,East,Southeast,Home,Win,2,106,24,13,11,6,20,79,33,49,22,30,11,47,29,17,27,22,31,26,27
83,2016-10-31,07:30,ATL,East,Southeast,Home,Win,2,106,24,13,11,6,20,79,33,49,22,30,11,47,29,17,27,22,31,26,27,SAC,West,Pacific,Away,Loss,1,95,26,19,10,6,34,75,36,52,26,23,10,19,13,6,32,15,29,37,14
84,2016-10-31,07:30,CHI,East,Central,Away,Win,1,118,26,20,9,9,22,89,45,62,34,27,11,18,17,13,45,38,27,28,25,BKN,East,Atlantic,Home,Loss,1,88,14,15,12,3,15,96,33,65,28,31,5,21,17,16,29,20,24,22,22
85,2016-10-31,07:30,BKN,East,Atlantic,Home,Loss,1,88,14,15,12,3,15,96,33,65,28,31,5,21,17,16,29,20,24,22,22,CHI,East,Central,Away,Win,1,118,26,20,9,9,22,89,45,62,34,27,11,18,17,13,45,38,27,28,25
86,2016-10-31,07:30,DEN,West,Northwest,Away,Loss,1,102,14,8,2,9,18,81,33,59,24,22,9,35,27,11,35,24,25,35,18,TOR,East,Atlantic,Home,Win,3,105,16,8,7,9,28,88,41,72,37,16,4,25,19,11,32,33,29,26,17
87,2016-10-31,07:30,TOR,East,Atlantic,Home,Win,3,105,16,8,7,9,28,88,41,72,37,16,4,25,19,11,32,33,29,26,17,DEN,West,Northwest,Away,Loss,1,102,14,8,2,9,18,81,33,59,24,22,9,35,27,11,35,24,25,35,18
88,2016-10-31,10:30,PHO,West,Pacific,Away,Loss,1,98,19,21,11,0,33,84,35,69,30,15,5,31,23,10,34,24,12,34,28,LAC,West,Pacific,Home,Win,1,116,21,16,8,4,23,80,40,64,34,16,6,38,30,5,39,24,24,34,34
89,2016-10-31,10:30,LAC,West,Pacific,Home,Win,1,116,21,16,8,4,23,80,40,64,34,16,6,38,30,5,39,24,24,34,34,PHO,West,Pacific,Away,Loss,1,98,19,21,11,0,33,84,35,69,30,15,5,31,23,10,34,24,12,34,28
90,2016-11-01,07:00,HOU,West,Southwest,Away,Loss,1,120,30,7,5,2,25,90,43,46,26,44,17,25,17,11,21,35,24,25,36,CLE,East,Central,Home,Win,2,128,22,11,4,2,21,83,43,51,27,32,16,31,26,12,34,29,34,22,43
